WKT,osm_id,access,amenity,name,operator,operational_status,watsan:availability,watsan:cost,watsan:location,watsan:type,watsan:water_private,watsan:water_public,opening_hours,operator:type
POINT (36.854692657720101 -1.263379314750503),4501970696,,drinking_water,Kwa Kamau,,operational,often,ksh. 2 per 20 Litres,public_community,water_tank,,yes,,
POINT (36.855526384135295 -1.26276052590662),4503852992,,drinking_water,Kwa Nancy,,operational,,Ksh. 2 per 20 Litres,,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.856158798095308 -1.263408862138633),4503853089,,drinking_water,Carol,,operational,,Ksh. 2 per 20 Litres,,,,,05:00-06:00;19:00-22:00,
POINT (36.856083878600614 -1.263319591305373),4503813195,,drinking_water,Kwa Mama Lorna,,operational,,ksh 2 per 20litres,,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.855818875591801 -1.263036690757184),4503836190,,drinking_water,Kwa Mama Christine,,operational,,Ksh. 2 per 20 Litres,,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.856169757541771 -1.262816836595611),4503852989,,drinking_water,Anaweza Education Centre,,operational,,Ksh. 2 per 20 Litres,school,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.85626174502687 -1.262856801916387),4502126572,,drinking_water,Odhis,,operational,,Ksh. 2 per 20 Litres,,other,yes,,"05:00-06:00,19:00-22:00",
POINT (36.855286084796788 -1.262470440519806),4502126567,,drinking_water,Jack,,operational,,Ksh. 2 per 20 Litres,,piped_tap,yes,,"05:00-06:00,19:00-22:00",
POINT (36.855519017949959 -1.262663621225285),4502126569,,drinking_water,Jack,,operational,,Ksh. 2 per 20 Litres,,piped_tap,yes,,"05:00-06:00,19:00-22:00",
POINT (36.855385079141101 -1.262526930834516),4502126568,,drinking_water,Jack,,operational,,ksh. 2 per 20 Litres,,piped_tap,yes,,"05:00-06:00,19:00-22:00",
POINT (36.855167956336928 -1.262364554855074),4502126564,,drinking_water,Ben,,operational,,,,piped_tap,yes,no,"05:00-06:00,19:00-22:00",
POINT (36.855066356878297 -1.262297736418096),4502126579,,drinking_water,,,non_operationa,,,,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.855057643220036 -1.262262980053039),4502126578,,drinking_water,,,non_operationa,,,public_community,water_tank,,yes,"05:00-06:00,19:00-22:00",
POINT (36.855543002968041 -1.262235318656205),4503852991,,drinking_water,George,,operational,,Ksh. 2 per 20 Litres,,piped_tap,yes,,"05:00-06:00,19:00-22:00",
POINT (36.855946526193677 -1.26262419475982),4503854192,,drinking_water,,,operational,,Ksh. 2 per 20 Litres,,,,yes,"05:00-06:00,19:00-22:00",
POINT (36.856121607842553 -1.262462986312843),4502126573,,drinking_water,Okal,,operational,,ksh. 2 per 20 Litres,,piped_tap,yes,,"05:00-06:00,19:00-22:00",
POINT (36.855842770778359 -1.262227415399919),4503746692,,drinking_water,Bonny,,operational,,Ksh. 2 per 20 Litres,,piped_tap,yes,,"05:00-06:00,19:00-22:00",
POINT (36.854892353207767 -1.261608087423367),4503854189,,drinking_water,Samson,,operational,,Ksh. 2 per 20 Litres,,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.854840250921285 -1.261405117375782),4503816692,,drinking_water,Karanja,,operational,,Ksh. 2 per 20 Litres,,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.854018202604784 -1.261239238745474),4503854190,,drinking_water,,,operational,,Ksh. 2 per 20 Litres,,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.854168041594178 -1.261053601955012),4503852993,,drinking_water,Kwa Duka,,operational,,Ksh. 2 per 20 Litres,,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.85365618154529 -1.260881706047233),4503854089,,drinking_water,Nairobi Water Company,,operational,,Ksh. 2 per 20 Litres,,water_tank,,yes,"05:00-06:00,19:00-22:00",
POINT (36.854256795144245 -1.261014714323791),4503836191,,drinking_water,,,operational,,Ksh. 2 per 20 Litres,,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.854704874807965 -1.261199812258419),4503853090,,drinking_water,,,operational,,ksh. 2 per 20 Litres,,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.854336206215358 -1.260969629817573),4503852994,,drinking_water,,,operational,,Ksh. 2 per 20 Litres,,piped_tap,,yes,"05:00-06:00,19:00-22:00",
POINT (36.855110194664157 -1.261819589380893),4503854191,,drinking_water,,,operational,,Ksh. 3 per 20 Litres,,piped_tap,,yes,"05:00-06:00,19:00-22:00",private
POINT (36.855516143341056 -1.261916583903446),4502126576,,drinking_water,Kisii,,operational,,ksh. 2 per 20 Litres,,piped_tap,yes,,"05:00-06:00,19:00-22:00",
POINT (36.85569427926189 -1.261489987596726),1038202639,,drinking_water,,,,,none,,piped_tap,yes,,24/7,private
POINT (36.855765246169341 -1.261469241542968),1205477311,,drinking_water,Mandera,,operational,,free,public_community,piped_tap,,yes,24/7,other
POINT (36.855787793882968 -1.261533455518333),1204137050,,drinking_water,,,,,2ksh per20litres,,piped_tap,yes,no,06:00-23:00,private
POINT (36.855559262474692 -1.261352129617387),1204137111,,drinking_water,Mandera 4A,,operational,,none,,water_tank,,yes,,cdf
