wkt_geom,time,name,type,desc
Point (36.9130309999999966 -1.28429100000000007),2016-05-25,Covenant of Christ Ministries,church,"promotes faith nourishment,security and guide and counselling"
Point (36.91053699999999793 -1.28622400000000003),2016-05-25,Joppa Ministries  Well,church,"place of worship,security enhancement and bahaviour change"
Point (36.90964400000000012 -1.28631600000000001),2016-05-25,Roho Israel Church Soweto,church,"peace building,security and couselling"
Point (36.90966699999999889 -1.28629400000000005),2016-05-25,Indeginious Church Wakorino,church,"peace building,security and couselling"
Point (36.91071699999999822 -1.286802),2016-05-25,Bethlehem Soweto Church,church,"place of worship,security enhancement and bahaviour change"
Point (36.90963699999999648 -1.28775200000000001),2016-05-25,Glory of God Ministy,church,"provides security,couselling and spiritual nourishment"
Point (36.91037899999999894 -1.28809900000000011),2016-05-25,Harvest Worship Church,church,"provides security,couselling and spiritual nourishment"
Point (36.90921800000000275 -1.28827000000000003),2016-05-25,Holy Victory Believers Ministry,church,"provides security,couselling and spiritual nourishment"
Point (36.90952000000000055 -1.28864899999999993),2016-05-25,Harvest Church Networks,church,"place of worship,security enhancement and bahaviour change"
Point (36.90988800000000225 -1.28912699999999991),2016-05-25,Nazarene Church Soweto,church,"peace building,security and couselling"
Point (36.90846400000000216 -1.28875699999999993),2016-05-25,African Missions of Holy Ghost,church,"place of worship,security enhancement and bahaviour change"
Point (36.90887800000000141 -1.29000399999999993),2016-05-25,Mworoto PAG Assemblies,church,"place of worship,security enhancement and bahaviour change"
Point (36.90900700000000256 -1.29009299999999993),2016-05-25,The Church of Christ,church,"place of worship,security enhancement and bahaviour change"
Point (36.9087729999999965 -1.29038999999999993),2016-05-25,Deliverance Centre,church,"place of worship,security enhancement and bahaviour change"
Point (36.90767199999999804 -1.29004300000000005),2016-05-25,All Nations Church,church,"place of worship,security enhancement and bahaviour change"
Point (36.90759599999999807 -1.28941499999999998),2016-05-25,Life in the Word Fellowship,church,"peace building,security and couselling"
Point (36.907747999999998 -1.28866400000000003),2016-05-25,City Jacaranda SDA Church,church,"place of worship,security enhancement and bahaviour change"
Point (36.90707299999999691 -1.28929399999999994),2016-05-25,CarmalevaleCatholic Church,church,"provides security,couselling and spiritual nourishment"
Point (36.91607499999999931 -1.28236900000000009),2016-05-25,Faith Temple Pentecoastal Church Intern.,church,"promotes peace building ,behavoiur change and security as well"
Point (36.91767800000000221 -1.28303699999999998),2016-05-25,Church of Nazarene,church,"enhances behaviour change,security as well as promotes peace"
Point (36.9178890000000024 -1.28354699999999999),2016-05-25,K.A.G church,church,"enhances behaviour change,security as well as promotes peace"
Point (36.91764599999999774 -1.28333199999999992),2016-05-25,Akorino Holy Christian Church,church,"enhances behaviour change,security as well as promotes peace"
Point (36.91709099999999921 -1.28325700000000009),2016-05-25,Mission of Divinee Fellowship Church,church,"enhances behaviour change,security as well as promotes peace"
Point (36.91709699999999827 -1.28323600000000004),2016-05-25,God's Power Church,church,"enhances behaviour change,security as well as promotes peace"
