WKT,osm_id,access,amenity,name,operator,operational_status,watsan:cost,opening_hours,operational_status:electricity,operator:type
POINT (36.787421599016589 -1.309963717485518),1367652449,,toilets,WSUP (Halima Toilet),,under_construction,,,,private
POINT (36.787210674587875 -1.309497254426032),1367652453,,toilets,WSUP (White House Toilet),,under_construction,N/A,,,private
POINT (36.787671061170983 -1.309752219516865),1367652446,,toilets,WSUP (Wahaab Toilet),,under_construction,N/A,,,private
POINT (36.787195313396516 -1.309418941789896),612008931,,toilets,,toillets,,,,,
POINT (36.785046363573841 -1.308729395330817),612008619,,toilets,,cdf makina toilets,,,,,
POINT (36.787510172903595 -1.308403481732655),1376590141,,toilets,Mohammed faraj (WSUP),,under_construction,,,,private
POINT (36.787854227657412 -1.311668094094471),1367652451,,toilets,WSUP (Rhoda Toilets),,under_construction,,,,private
POINT (36.788739966527558 -1.311907701799534),769097865,private,toilets,,,operational,,,,private
POINT (36.788885403772063 -1.311936081121412),1367652448,,toilets,WSUP (Dogoo Toilets),,under_construction,,,,private
POINT (36.788979277719243 -1.311969489689783),941480218,,toilets,Pee point,,operational,,,,private
POINT (36.788473705877344 -1.311816007849151),769097861,private,toilets,,,operational,,,,private
POINT (36.788794673928358 -1.311707609609628),769097860,private,toilets,,,operational,shs 5 per 20lit,06:00-20:00,,private
POINT (36.788884864782887 -1.311671686414054),612008525,,toilets,,,,,,,
POINT (36.78902545112485 -1.311556283144774),1367652458,,toilets,WSUP (Aisha Toilet),,under_construction,,,,ngo_cbo
POINT (36.789743744026033 -1.312858947754595),1367652452,,toilets,WSUP (Kaido Toilets),,under_construction,,,,ngo_cbo
POINT (36.790082588551201 -1.312455440616369),1376590144,,toilets,Nema Mohammed (WSUP),,under_construction,,,,private
POINT (36.789153461052834 -1.312021398701049),612007475,,toilets,,CBO- Ushirika Toilets,,,,,
POINT (36.789180500342887 -1.312079504461515),769097857,yes,toilets,,,bad,shs 50 per month,24/7,,ngo_cbo
POINT (36.790273121222967 -1.312065494417383),612007478,,toilets,,,,,,,
POINT (36.789889899922755 -1.311711920393066),612008534,,toilets,,,,,,,
POINT (36.78832737031756 -1.311256504043771),612008539,,toilets,,,,,,,
POINT (36.788569376455101 -1.31038590509695),1367652439,,toilets,WSUP (Aziza Docka Toilets),,under_construction,,,,private
POINT (36.789145376215281 -1.31119220151174),941480099,yes,toilets,,,bad,,,,private
POINT (36.789481795289177 -1.310926818837599),612008544,,toilets,,,,,,,
POINT (36.789589682954805 -1.310898439504296),612006995,,toilets,,ISSA&KWAHO Toilets Facilities,,,,,
POINT (36.789452420379391 -1.310844015845204),5334680578,,toilets,,,,,,,
POINT (36.789585730367556 -1.310879490012561),941480210,yes,toilets,,,operational,shs 5 per person T/B,07:00-18:00,,ngo_cbo
POINT (36.789898523749486 -1.310669698473707),795850353,,toilets,Mashimoni-Amref Toilet,,operational,,24/7,,private
POINT (36.791360352211335 -1.312402004878743),612008550,,toilets,,,,,,,
POINT (36.791397093306458 -1.312200835032728),773538278,yes,toilets,,,bad,,,,private
POINT (36.791473719600191 -1.312244661321985),941480311,private,toilets,,,operational,shs 3 per 20lit,06:00-19:00,,private
POINT (36.791517826880636 -1.312225801648415),612007499,,toilets,,Private Toilets,,,,,
POINT (36.791188055339838 -1.312122612289105),773538292,yes,toilets,,,operational,,,,private
POINT (36.791326575556653 -1.312165899731917),773538282,yes,toilets,,,operational,,,,private
POINT (36.792061666953643 -1.312474928943938),612009168,,toilets,,Amref,,,,,
POINT (36.792474622489756 -1.312508786544902),941480178,private,toilets,Mashimoni-Amref Toilet,,operational,,24/7,,private
POINT (36.792842662261663 -1.312623920346368),795719671,yes,toilets,Mashimoni Ushirika Na Usafi,,operational,5ksh per person,Mo-Su 07:00-19:00,,ngo_cbo
POINT (36.793140453778342 -1.312610988000761),795719667,private,toilets,Danida-Amref (Mashimoni),,operational,,24/7,,private
POINT (36.792138922068077 -1.311647348448753),612008687,,toilets,,CDF,,,,,
POINT (36.792525916292476 -1.311751256291562),941480362,yes,toilets,CDF Langata Mashimoni-Lainisaba Ward,,operational,5ksh per person,Mo-Su 06:00-20:00,,cdf
POINT (36.790499496674563 -1.311044287720178),612008698,,toilets,,Amref,,,,,
POINT (36.790588160393106 -1.311007646050978),795719682,private,toilets,Mashimoni-Amref Toilet,,operational,,24/7,,private
POINT (36.790634423630237 -1.310288732800436),1376590147,,toilets,Progressive Youth Group (WSUP),,under_construction,5ksh,,,ngo_self_help
POINT (36.792213122910553 -1.310492956273223),612007396,,toilets,,CDF,,,,,
POINT (36.792240970684354 -1.310450207649694),795719688,private,toilets,Mashimoni-Amref Toilet,,operational,,24/7,,private
POINT (36.787936513337435 -1.309820294024223),1376590145,,toilets,Maza Majengo (WSUP),,under_construction,,,,private
POINT (36.788170793963538 -1.309859091104098),612008933,,toilets,,toillets/tree,,,,,
POINT (36.789038925854115 -1.310091604146653),1376590138,,toilets,Kigondi (WSUP),,under_construction,,,,private
POINT (36.788728378260387 -1.309774581723303),1376590143,,toilets,Maza Fatuma (WSUP),Public toillet,under_construction,,,,private
POINT (36.789133428622002 -1.309487734770854),1367652455,,toilets,WSUP (Zuhura Ahmed Toilets),,under_construction,,,,private
POINT (36.790317587829527 -1.309640677905826),612008413,,toilets,,cdf toilets,,,,,
POINT (36.789307701787124 -1.309044891148923),612009017,yes,toilets,Rukungu CDF Toilet,,,,,,
POINT (36.789762698478526 -1.308628091797541),948042739,private,toilets,Stara Biocentre,,,,,,
POINT (36.789833306059855 -1.308596748770893),1775820947,,toilets,Stara Bio-gas Centre,Public toillet,,,,,
POINT (36.78988495918869 -1.308280444623416),612009237,,toilets,,CDF toilets,,,,,
POINT (36.790304652089432 -1.308372677551854),612009238,,toilets,,public toilet,,,,,
POINT (36.791543698360826 -1.309587331916176),795868730,private,toilets,Mashimoni-Friends,,operational,,Mo-Su 07:00-19:00,,faith_based_organization
POINT (36.790874453474153 -1.309325721011121),612009250,,toilets,,public toilet,,,,,
POINT (36.790775548961371 -1.308386328384205),612009260,,toilets,,public toilet,,,,,
POINT (36.794612163708322 -1.317804127648662),775537588,yes,toilets,,,operational,"Ksh.3 toilet, Ksh. 5 bathroom",Mo-Su 06:00-21:00,,ngo_cbo
POINT (36.79550176533418 -1.318003500887808),775537589,yes,toilets,,,operational,"Ksh.3 toilet, Ksh. 5 bathroom",Mo-Su 06:00-21:00,,ngo_cbo
POINT (36.795067789220418 -1.317087102317963),612009026,yes,toilets,,,operational,Ksh.3,Mo-Su 06:00-21:00,,ngo_international
POINT (36.795511377307719 -1.317141076802062),612008780,yes,toilets,,,operational,Ksh.3,Mo-Su 06:00-21:00,,ngo_cbo
POINT (36.793498791745179 -1.316607259224023),795800082,private,toilets,Lindi-Toilet,,operational,,24/7,,private
POINT (36.794078564429547 -1.316817140072102),5299015790,,toilets,,Public Toilets,,,,,
POINT (36.796084322795934 -1.317454416171716),612008641,yes,toilets,,,,,Mo-Su 06:00-21:00,,ngo_international
POINT (36.798021270211557 -1.318264122998869),612009043,yes,toilets,,,operational,"Ksh. 3 toilet,Ksh.10 bathroom",Mo-Sa 08:30-16:00,,ngo_cbo
POINT (36.79763427598715 -1.317487555242898),612008782,yes,toilets,,,closed,,Mo-Su 06:00-21:00,,ngo_international
POINT (36.795290930736996 -1.315306931573407),612007411,yes,toilets,,Public Toilets,operational,Ksh.5,Mo-Su 06:00-21:00,,ngo_international
POINT (36.79323280058955 -1.31400202304203),956946420,,toilets,Lindi usafi,,,,,,
POINT (36.793215642767628 -1.313344808700402),795850352,private,toilets,Amref Mashimoni Toilet,,operational,,24/7,,private
POINT (36.795641992350028 -1.313598695704199),2117408684,,toilets,Ushirika public toilet,,operational,,Mo-Su 05:00-20:00,,ngo_cbo
POINT (36.796610466057842 -1.315025563535505),771235536,yes,toilets,,,operational,ksh 3,Mo-Su 08:30-20:00,,private
POINT (36.796548212808652 -1.314918153321795),771235553,,toilets,,,,,,,
POINT (36.796608130438102 -1.314901449057386),771235540,private,toilets,,,operational,,Mo-Su 08:30-20:00,,private
POINT (36.797485874302218 -1.315135578172687),771235586,private,toilets,,,bad,,,,private
POINT (36.798145417383815 -1.314392417978352),771218444,,toilets,,,operational,,,,unknown
POINT (36.796578755528316 -1.313245930168065),771235535,yes,toilets,,,closed,,,,
POINT (36.797063486455627 -1.313319303248296),2117408709,,toilets,,Public Toilets,,,Mo-Su 05:00-20:00,,private
POINT (36.797194460824045 -1.313362051822806),2117408710,,toilets,,Public_toilet,operational,,Mo-Su 05:00-20:00,,private
POINT (36.797589090728358 -1.313798428511107),2016218156,,toilets,,,operational,,,,unknown
POINT (36.798355084171135 -1.313337085218443),771216938,yes,toilets,,,operational,ksh 3 per visit,Mo-Su 05:00-20:00,,private
POINT (36.799742711790508 -1.318171710819953),612008656,yes,toilets,,,operational,"Ksh.10 bathroom,Ksh.3 toilet",Mo-Su 06:00-21:00,,ngo_international
POINT (36.798822747108048 -1.317533087787136),612008662,yes,toilets,,Practical Action Toilet,operational,Ksh.3,Mo-Su 06:00-21:00,,ngo_international
POINT (36.799320593438502 -1.317466001375501),612008623,yes,toilets,,,"bad, stinking",Ksh.3,Mo-Su 06:00-21:00,,ngo_cbo
POINT (36.799544723101889 -1.317445255777974),612008660,yes,toilets,,Practical Action Toilet,operational,"Ksh.10 bathroom, 3 toilet",Mo-Su 06:00-21:00,,ngo_international
POINT (36.798982467565558 -1.3152439762635),769072626,yes,toilets,Usafi Group Soweto,Usafi Group Soweto,operational,Ksh.2,Mo-Fr 06:00-21:00,,ngo_self_help
POINT (36.799824727975952 -1.31462079943684),612007747,yes,toilets,,UN-Habitat,operational,"KShs 10 bathroom, 3 toilet",Mo-Su 06:00-21:00,,private
