WKT,osm_id,amenity,name,operational_status,opening_hours,operational_status:electricity,operator:type
POINT (36.78644710659637 -1.314967278227816),748912871,school,St Poly Children Centre,,,,cbo
POINT (36.78686715882322 -1.314170053628269),612007816,school,Linda Baby Care,,,,cbo
POINT (36.792485222610104 -1.316360826575403),612008903,school,Ujamaa Community Primary School,operational,Mo-Fr 07:00-15:00,never,ngo
POINT (36.790285158647769 -1.315059510909787),612007401,school,Lindi Ushirika Nursery School,,,,ngo
POINT (36.790269977119472 -1.314756588953179),7321575799,school,Saviour King Academy,,,,private
POINT (36.790293962137561 -1.314496954362262),712907767,school,Saviour King Education Centre,operational,,often,cbo
POINT (36.788862406900783 -1.31377813192265),612007820,school,Kisumu Ndogo Primary School,,07:30-16:10,never,cbo
POINT (36.789102077418583 -1.313772114792413),2935256792,school,Kisumu Ndogo Nursery School,,,,cbo
POINT (36.790578278924983 -1.315091662126269),7321575798,school,Saviour King Academy,,,,private
POINT (36.790997702331133 -1.314680162447214),612008379,school,Lindi Friends School,operational,Mo-Fr 07:00-17:00,sometimes,religious
POINT (36.790977400405716 -1.314499828214682),2923089741,school,Lindi Friends School Kibera,,,,religious
POINT (36.793007323453232 -1.313083916651594),2952263121,school,Elite Visionary High School,,,,private
POINT (36.783478893234587 -1.312577399825042),890550666,school,Raila Educational Centre,operational,08:00-17:00,always,government
POINT (36.783486798409086 -1.312549110318402),5134869729,school,Raila Educational Centre,,,,government
POINT (36.783545368565605 -1.312513995406553),752352033,school,Raila Educational Centre,operational,06:30-18:00,,government
POINT (36.78229221874426 -1.311505451819806),5134869728,school,Kibera Day ECD,,,,religious
POINT (36.782316652919988 -1.311497728332173),890550633,school,Kibera Day ECD,operational,08:00-15:00,always,religious
POINT (36.784285221033606 -1.312589703515137),5170840099,school,New Hope Academy,,,,cbo
POINT (36.784305882285146 -1.312587009276439),5170840100,school,New Hope Academy,,,,cbo
POINT (36.784703476629893 -1.312828143628602),748782277,school,Tumaini Juniour Academy,,,never,religious
POINT (36.784672664415652 -1.312439814031033),3070240346,school,St Juliet Education Centre,,,,cbo
POINT (36.784649847207433 -1.312379912119662),3070240345,school,St Juliet Education Centre,,,,cbo
POINT (36.784527586497262 -1.312015201950615),3454366437,school,Kibera Utu Academy,,,,cbo
POINT (36.78455597326024 -1.31201852484578),3454366438,school,Kibera Utu Academy,,,,cbo
POINT (36.784663411768221 -1.311423457118528),612008715,school,Charity Nursery School,operational,08:00-15:00,often,private
POINT (36.783722965497276 -1.310701400706526),2923814193,school,The Green Pastures School,,,,private
POINT (36.783844507555216 -1.310693138368275),5170815428,school,The Green Pastures School,,,,private
POINT (36.78526106092675 -1.311866839167795),5134869731,school,The Great Achievers Preparatory School,,,,cbo
POINT (36.785277949254095 -1.31182283325595),2950176596,school,The Great Achievers Preparatory School,,,,cbo
POINT (36.785867783069634 -1.311851122770809),775535480,school,Stara Rescue Centre School,operational,06:00-18:00,always,ngo
POINT (36.785807326451021 -1.311624986259032),5134957030,school,Perijang Education Centre,,,,cbo
POINT (36.785803823021411 -1.311588075174358),3174474065,school,Perijang Education Centre,,,,private
POINT (36.786233756716392 -1.311677344317382),2923513500,school,Stara Rescue Centre School,,,,ngo
POINT (36.787191809966906 -1.312349107987766),2923513498,school,St. Gyaviira Centre,,,,cbo
POINT (36.78642249275758 -1.311996881123197),3070202859,school,Niami Educational Centre,,,,private
POINT (36.786612127114061 -1.311829030006855),2923513497,school,Rosy Tender Care Centre,,,,private
POINT (36.786828800760588 -1.311750088787722),2923513487,school,God's Mercy Academy,,,,cbo
POINT (36.786861589268469 -1.311236836090713),775527189,school,Academia School Of Kibra,operational,07:00-18:00,often,
POINT (36.783867953584135 -1.309876962906913),752394892,school,Kibera Primary School,operational,08:00-17:00,always,government
POINT (36.782236972354283 -1.307756863280861),752276386,school,Graebens Driving Shool,operational,07:30-18:30,always,private
POINT (36.784842086678232 -1.308451798493611),752317805,school,Optimist Educational Centre,,07:00-17:00,always,cbo
POINT (36.784839930721553 -1.308386328384205),2923513496,school,Optimist Educational Centre,,,,cbo
POINT (36.78481055581176 -1.308254310462936),752388466,school,St Batholomew,operational,07:00-15:30,never,private
POINT (36.788208882531585 -1.31256967634073),752262462,school,Watu Moja Lee Academy,,08:00-17:00,never,cbo
POINT (36.790448562197952 -1.312381977702835),2952187232,school,Mashimoni Squatters Secondary School,,,,ngo
POINT (36.790262610934136 -1.311521796874939),2923513493,school,Mercy Junior Educational Centre,,,,religious
POINT (36.790284260332484 -1.311523233802866),2923513494,school,Mercy Junior Educational Centre,,,,religious
POINT (36.788000114059557 -1.31117091701403),748777109,school,Pracious Children Centre,operational,07:30-15:00,never,private
POINT (36.788231430245212 -1.311088203837713),748782276,school,Kibera Academy Secondary School,operational,08:00-17:30,never,private
POINT (36.788217326695253 -1.311054885065574),612007263,school,Kibera Academy,,,,
POINT (36.788415674709988 -1.311168043157781),612007489,school,Mzalendo High Technical Center,,,,private
POINT (36.788865910330387 -1.310634763151535),748777107,school,New Joy Centre,operational,07:00-15:00,never,cbo
POINT (36.788869054433881 -1.310638984128793),2923513495,school,New Joy Centre,,,,cbo
POINT (36.790303843605685 -1.310617609818364),2941808000,school,Tranform Center,operational,Mo-Fr 08:30-15:30,never,private
POINT (36.790854690537898 -1.31268238532466),2952187231,school,Mashimoni Squatters Nursery School,,,,ngo
POINT (36.790861966891704 -1.31239311389035),612007279,school,Mashimoni Squatters Primary School,operational,08:00-17:00,,ngo
POINT (36.791904012621288 -1.312755399189609),890550597,school,Better Life Center,operational,Mo-Fr 08:00-15:00,sometimes,religious
POINT (36.79256220822996 -1.312695497285795),1771323212,school,Changing Times Primary School,,,,religious
POINT (36.792653297399767 -1.312612963775794),2952263119,school,Changing Times Adult School,,,,religious
POINT (36.79261529866325 -1.31254542819213),2952263118,school,Changing Times Vocational School,,,,religious
POINT (36.792627875077223 -1.312301060725895),1771323214,school,Kingulu Primary School,,,,ngo
POINT (36.792138562741968 -1.311547661577363),2979113005,school,Neema Academy,,,,private
POINT (36.793084578567672 -1.311884621148298),2935485238,school,John Paul II Secondary School,,,,religious
POINT (36.792976601070521 -1.311702131322336),2935485237,school,Hope Restoration Centre Kenya,,,,religious
POINT (36.790614930188568 -1.311162475061308),2984297816,school,Neema Primary School Academy,,,,private
POINT (36.791066423450367 -1.311069613579465),2941807998,school,Cherry Children Education Centre,,,,ngo
POINT (36.791595980310362 -1.31115708658082),1771323215,school,Love Africa Somi School,,,,religious
POINT (36.791416317253535 -1.311148554820047),890550409,school,Slum Outreach,operational,Mo-Fr 07:00-17:00,sometimes,religious
POINT (36.790972100345535 -1.31023574605674),2941807997,school,All Nations PEFA Academy,,,,religious
POINT (36.79172884114088 -1.31079273546566),748804548,school,Mashimoni Primary School,operational,Mo-Fr 07:00-17:00,sometimes,cbo
POINT (36.791926201008799 -1.311280842012851),1768443464,school,New HorizonHigh School,,,,cbo
POINT (36.792172608891235 -1.311316944830047),1771323210,school,Akili Complex,,,,cbo
POINT (36.792634792104913 -1.311472851517209),662794312,school,Chemichemi Ya Tumaini,,,,ngo
POINT (36.793207557930067 -1.311167324693735),2952263125,school,Slumcare Community Centre,,,,cbo
POINT (36.792682672309553 -1.310978099214395),748804555,school,Patmos School,operational,Mo-Fr 08:30-15:00,never,religious
POINT (36.79280654998724 -1.311055693337696),2984297815,school,Loving The Orphan,,,,religious
POINT (36.792978487532615 -1.310658741894571),2953922778,school,St Martins,,,,cbo
POINT (36.788910556600015 -1.309131286524015),2958438689,school,Rosy Tender Care Centre,,,,private
POINT (36.789068300763908 -1.308758852385825),3459042563,school,Sarah Juniour Children Centre,,,,
POINT (36.789396096011082 -1.309110900089621),6021542946,school,Grace of The Lord Nursery and Primary,,,,
POINT (36.789465625614064 -1.30929060605407),2923513490,school,Kicoshep Primary School,,,,cbo
POINT (36.789495988670673 -1.309261598045675),2923513489,school,Kicoshep Nursery School,,,,cbo
POINT (36.789082044987751 -1.308726701087959),2923513480,school,Adventure Pride Centre,,,,cbo
POINT (36.787967684877799 -1.307437774975124),2923513484,school,Calyx Academy,,,,cbo
POINT (36.787962115323033 -1.307428345120274),2923513485,school,Calyx Academy,,,,cbo
POINT (36.78951458379705 -1.308428717810519),612009018,school,Calvary Educational Centre,,,,religious
POINT (36.789500300584038 -1.308403032692123),612007447,school,Calvary Educational Centre,,,,religious
POINT (36.78951458379705 -1.308418928726966),2923513483,school,Calvary Educational Centre,,,,religious
POINT (36.790034798178084 -1.308479010349282),2923513491,school,Makina Baptist Nursery School,,,,cbo
POINT (36.79002949811791 -1.308469400882122),612007446,school,Makina Baptist Primary School,,,,cbo
POINT (36.79004036773285 -1.307791529218753),2923513492,school,Makina Self Help School,,,,cbo
POINT (36.790117712678807 -1.307601495211371),612009243,school,Makina Self Help School,,,often,private
POINT (36.790955661175836 -1.309816342469755),748804547,school,Mashimoni High School,operational,Mo-Fr 07:00-17:00,sometimes,cbo
POINT (36.791287858167905 -1.309769642280128),2941807999,school,Mashoni Children Centre,,,,cbo
POINT (36.791570288493233 -1.309596133106456),2935262134,school,Mashimoni Friends ECD,,,,private
POINT (36.791880925918484 -1.309974763875746),2935262132,school,Facing The Future Educational Centre,,,,cbo
POINT (36.791916768698314 -1.309841129493118),6021542944,school,Focus Top High School,,,,
POINT (36.791896197278312 -1.309698783721519),2935262133,school,Happy Kids ECD,,,,private
POINT (36.791944257146014 -1.309617238001423),748804550,school,Jamhuri Assembly School (Closed),operational,Mo-Fr 08:00-15:00,never,religious
POINT (36.792800980432482 -1.309803948957971),2953922776,school,Little Angels Kids Centre,,,,private
POINT (36.794090062865187 -1.317579518408316),2923436815,school,Imani Jere Children Center (Closed),,,,religious
POINT (36.795595549449843 -1.318052356309744),2923436816,school,Kibera Silanga Ushirika,,,,cbo
POINT (36.794827849208033 -1.317276147718889),5295553069,school,Nairobi Christian Outreach Centre Academy,,,,religious
POINT (36.794082157690688 -1.316872731102494),2923436819,school,Shalyne Educational Centre,,,,cbo
