WKT,osm_id,access,amenity,name,operator,watsan:cost,watsan:location,watsan:type,opening_hours
POINT (36.849147986291932 -1.3154266454465),2298028766,private,toilets,Joyland primary school,,,,,
POINT (36.849060310720198 -1.315052146664609),2318157367,,toilets,plot,,,,,24/7
POINT (36.849451167700323 -1.314959285327266),2318157366,,toilets,plot,,ksh5,,,
POINT (36.849480183283994 -1.314736292372508),1453973004,,toilets,,toilet,,,,
POINT (36.849639005426226 -1.314964943223164),6584041551,permissive,toilets,,,,,,
POINT (36.849584028530842 -1.314690939392972),2318157349,,toilets,community_ service,,,,,24/7
POINT (36.85053597323742 -1.314362242526509),2318157351,,toilets,kwa_ kwambua,,,,,2hrs
POINT (36.850544686895681 -1.314309525292814),2298032231,,toilets,Toilet,,free,,private_toilet,24/7
POINT (36.85061996571649 -1.314437142308087),2318157361,,toilets,plot,,,,,2hrs
POINT (36.850638111685228 -1.314421246311462),2298032241,,toilets,Toilet,,Ksh 5,,public_toilet,24/7
POINT (36.850844993695162 -1.314543654463622),2318157362,,toilets,plot,,,,,24/7
POINT (36.850583853442068 -1.314391609707324),2318157352,,toilets,kwa_wambua,,,,,24/7
POINT (36.850623199651508 -1.314286893703216),2298032216,,toilets,Toilet,,free,,private_toilet,24/7
POINT (36.85066092889344 -1.31430225085332),2302244458,,toilets,Toilet,,free,,private_toilet,24/7
POINT (36.848244820105272 -1.313818635291501),2305020641,,toilets,plot-toilet,,100 per month,,,24/7
POINT (36.848982875942703 -1.314089944980319),2305020626,,toilets,kayaba dancers,,ksh 5,public_community,,06:00-21:00
POINT (36.849307706749443 -1.313798428511107),2318157357,,toilets,plot,,,,,24/7
POINT (36.849383344896367 -1.313880961981975),2318157358,,toilets,plot,,,,,24/7
POINT (36.848641156808625 -1.313463085740743),1499916459,,toilets,,,,,,
POINT (36.848667926604101 -1.313237937262006),2298032162,,toilets,Julius,,Ksh. 3,,private_toilet,06:00-19:00
POINT (36.849062287013822 -1.313455003027461),1499916458,,toilets,,,,,,
POINT (36.849313276304208 -1.313487423688373),1499916460,,toilets,,,,,,
POINT (36.849153466015167 -1.313023386100066),1499916455,,toilets,,,,,,
POINT (36.850051511804693 -1.313872160806758),2318157347,,toilets,capstone fellowship church,,,,,
POINT (36.850079808736147 -1.313828963201423),2298043892,,toilets,toilet,,,,,24/7
POINT (36.850280851696731 -1.314129999304618),2318157350,,toilets,kwa wambua,,,,,
POINT (36.850851192070621 -1.313946611563491),2318157359,,toilets,plot,,,,,24/7
POINT (36.850718061745511 -1.313718589275006),1500016833,,toilets,,toilet,,,,
POINT (36.850625355608194 -1.313616836904041),2318157356,,toilets,plot,,,,,2hrs
POINT (36.84965751072108 -1.313507720279196),1499916463,,toilets,,,,,,
POINT (36.849825316016151 -1.313336187139161),1999910177,,toilets,,Public toilet,,,,
POINT (36.85016326222604 -1.313528286293636),2318157354,,toilets,plot,,,,,24/7
POINT (36.850147092550927 -1.313465330938871),2298043889,,toilets,toilet,,,by_the_river,private_toilet,
POINT (36.850096697063492 -1.313356034691565),1500016828,,toilets,,toilet,,,,
POINT (36.85010729718384 -1.313317507089681),2298032215,,toilets,toilet,,Ksh 3,,private_toilet,
POINT (36.850186618423429 -1.313266316568783),2298032205,,toilets,Toilet,,free,,private_toilet,24/7
POINT (36.850164070709795 -1.313250151140921),1999910176,,toilets,,Kayaba CHWs toilet,,,,
POINT (36.849799444535975 -1.312913820409589),2298032195,,toilets,Mukuru_chw,,5 ksh,,public_toilet,06:00-21:00
POINT (36.850306543513859 -1.313485358106116),2318157353,,toilets,plot,,,,,24/7
POINT (36.850462670710243 -1.313550558658411),2298043891,,toilets,toilet,,,by_the_river,private_toilet,24/7
POINT (36.850497794837842 -1.313528376101559),2318157355,,toilets,plot,,,,,24/7
POINT (36.850473450493645 -1.313488321767603),2298043890,,toilets,toilet,,,by_the_river,public_toilet,
POINT (36.850503903381778 -1.313394113253209),1500016830,,toilets,,toilet,,,,
POINT (36.850225964632877 -1.312900888065482),6584041543,permissive,toilets,,,,,,
POINT (36.850457280818539 -1.312912203866579),1999910174,,toilets,,Public toilet,,,,
POINT (36.850560946402325 -1.312955940335432),6584041544,permissive,toilets,,,,,,
POINT (36.851798285874672 -1.315113395629905),1500016849,,toilets,,toilet,,,,
POINT (36.851461327811599 -1.314849091066566),2318157365,,toilets,plot,,,,,24/7
POINT (36.851412459460136 -1.3147917936414),2318157364,,toilets,plot,,,,,2hrs
POINT (36.851360896162831 -1.314740243919204),2318157363,,toilets,plot,,,,,24/7
POINT (36.851136047847213 -1.314337275932158),1500016844,,toilets,,toilet,,,,
POINT (36.852393868908045 -1.315573930323741),1500016854,,toilets,Feelanga free,,"ksh 3, 100 per month",by_the_river,,06:00-21:00
POINT (36.850942999892652 -1.314132962965368),2318157360,,toilets,plot,,,,,24/7
POINT (36.854249967948085 -1.315839941159263),6584041552,permissive,toilets,,,,,,
POINT (36.854059974265489 -1.31494994530862),6584041550,permissive,toilets,,,,,,
POINT (36.848413883041751 -1.312680319741728),2298032173,,toilets,Kuum_community_centre,,Ksh. 5,,public_toilet,05:30-21:00
POINT (36.848628221068537 -1.312323333101598),1500016815,,toilets,,toilet,,,,
POINT (36.848779946520025 -1.312249959992145),6584041528,permissive,toilets,,,,,,
POINT (36.848898703800586 -1.31267304529749),1999910170,,toilets,,Public toilet,,,,
POINT (36.848305456386953 -1.31204474877496),1499916448,,toilets,,,,,,
POINT (36.849119958855063 -1.312059926322894),6584041526,permissive,toilets,,,,,,
POINT (36.849311659336699 -1.312087317755316),1499916450,,toilets,,public toilet,,,,
POINT (36.849389992429472 -1.311939942864561),6584041520,permissive,toilets,,,,,,
POINT (36.850027975944258 -1.312599941622161),6584041537,permissive,toilets,,,,,,
POINT (36.850029952237882 -1.312329889083114),6584041531,permissive,toilets,,,,,,
POINT (36.849618972995394 -1.312006939616703),6584041525,permissive,toilets,,,,,,
POINT (36.849634963007453 -1.311997958818936),6584041524,permissive,toilets,,,,,,
POINT (36.848212929912684 -1.311029828630196),6584041501,permissive,toilets,,,,,,
POINT (36.861514374156172 -1.312427689956135),1999709944,,toilets,,fresh life (kwa reuben),,,,
POINT (36.876986597283732 -1.317839332293856),2297984563,,toilets,toilet,,ksh5,,public_toilet,06:00-21:00
POINT (36.877940877610058 -1.316345559245792),2296747927,,toilets,toilet,,,,private_toilet,
POINT (36.878105718464688 -1.316170793218954),2296728440,,toilets,toilet,,,,private_toilet,
POINT (36.876400177066259 -1.314169963820359),1999653285,,toilets,,Freshlife toilets,,,,
POINT (36.878623327731397 -1.315310344272054),2296847209,,toilets,toilet,,,,private_toilet,06:00-21:00
POINT (36.879351052943065 -1.313911227247542),949597771,public,toilets,Biogas Toilets,,,,,
POINT (36.879843778876413 -1.313460481310922),2296847207,,toilets,toilet,,,,private_toilet,24/7
POINT (36.870393771582059 -1.312009723663998),1446059274,,toilets,,Public toilet,,,,
POINT (36.872797663282356 -1.311691623787663),1446059222,,toilets,,Public toilet,,,,
POINT (36.871364401246545 -1.310575040813021),1446059297,,toilets,,public toilet,,,,
POINT (36.872191120802519 -1.310889907742633),1446059218,,toilets,,Public toilet,,,,
POINT (36.872780595291964 -1.310929153846029),1446059204,,toilets,,public toilet,,,,
POINT (36.871816613160568 -1.310692689328138),1446059333,,toilets,,Toilet/water poit,,,,
POINT (36.873533024173938 -1.311670429102189),1999709943,,toilets,,fresh life,,,,
POINT (36.873399714185773 -1.310706160531819),5333653775,,toilets,,public toilet,,,,
POINT (36.873454691081164 -1.310608359591522),5333653776,,toilets,,public toilet/water point/bathroom,,,,
POINT (36.875420115091295 -1.311405226094771),1446059200,,toilets,,Public toilet,,,,
POINT (36.875406191204384 -1.310886944078054),1446059281,,toilets,,Public toilet,,,,
