WKT,osm_id,amenity,name,operator,operational_status,watsan:availability,watsan:type,watsan:water_public,opening_hours
POINT (36.849526266858071 -1.314061655490803),3885769515,drinking_water,,Dennis,,often,piped_tap,,
POINT (36.85004225915727 -1.313962956602671),3885769508,drinking_water,,Wambua,,often,piped_tap,,
POINT (36.849539022935105 -1.313745801073427),3885708799,drinking_water,,mama faith,,often,piped_tap,,
POINT (36.849710062165201 -1.313773731334863),3885711323,drinking_water,,Mama Chris,,often,piped_tap,,
POINT (36.849520607471788 -1.313704040392571),3885708796,drinking_water,,kwa abdi,,often,piped_tap,,
POINT (36.849866279193115 -1.313796542544938),3885769492,drinking_water,,Mama steph,,often,piped_tap,,
POINT (36.850117448146548 -1.313885003337929),3885769495,drinking_water,,Mama Mary,,often,piped_tap,,
POINT (36.850118705787949 -1.313781903855038),3885769491,drinking_water,,,,never,piped_tap,,
POINT (36.85018042004797 -1.313725324868716),3885769483,drinking_water,,Tom,,often,piped_tap,,
POINT (36.850330798026533 -1.313944725597425),3885769504,drinking_water,,Mama Mary,,often,piped_tap,,
POINT (36.850460514753557 -1.314038036012029),3885769514,drinking_water,,Tom,,often,piped_tap,,
POINT (36.850458268965347 -1.313985049347758),3885769509,drinking_water,,Tom,,often,piped_tap,,
POINT (36.850570378712803 -1.314124790446338),3885769522,drinking_water,,Tom,,often,piped_tap,,
POINT (36.850624097966794 -1.314101440391842),3885769519,drinking_water,,Denno,,often,piped_tap,,
POINT (36.850805198328075 -1.31414329087398),3885769523,drinking_water,,Tom,,often,piped_tap,,
POINT (36.850725697425432 -1.314068391083585),3885769516,drinking_water,,Tom,,never,piped_tap,,
POINT (36.850612060541984 -1.31399394033049),3885769511,drinking_water,,Baba Chris,,often,piped_tap,,
POINT (36.850208447484832 -1.313813246816739),3885769493,drinking_water,,Tom,,often,piped_tap,,
POINT (36.850363406871338 -1.313779838273023),3885769490,drinking_water,,Tom,,often,piped_tap,,
POINT (36.85041434134795 -1.313828963201423),3885769494,drinking_water,,Tom,,often,piped_tap,,
POINT (36.850596519687571 -1.31377346191112),3885769488,drinking_water,,Baba Chris,,often,piped_tap,,
POINT (36.85062059453719 -1.313737808168971),3885769485,drinking_water,,Tom,,often,piped_tap,,
POINT (36.850672876486719 -1.313777413459341),3885769489,drinking_water,,Tom,,often,piped_tap,,
POINT (36.849821273597378 -1.313517239919082),3885769476,drinking_water,,Baba Chris,,often,piped_tap,,
POINT (36.850203057593127 -1.313533315537304),3885769477,drinking_water,,Maina,,often,piped_tap,,
POINT (36.849795312285671 -1.313032007662388),2024563623,drinking_water,,,,,piped_tap,yes,
POINT (36.85085676162538 -1.312965909017122),1493484968,drinking_water,,,,,,,
POINT (36.851481989063124 -1.315117886023198),3885770224,drinking_water,,mukua,,often,piped_tap,,
POINT (36.851400871192979 -1.315007601961635),3885770223,drinking_water,,jacqueline,,never,piped_tap,,
POINT (36.851778253443825 -1.315318337171472),3885770228,drinking_water,,mukua,,often,piped_tap,,
POINT (36.8518591018194 -1.315322827564395),3885770229,drinking_water,,baba kaunda,,often,piped_tap,,
POINT (36.852007144178224 -1.315445684711604),3885770230,drinking_water,,rahab wamaitha,,often,piped_tap,,
POINT (36.852143957595992 -1.315538905262256),3885763807,drinking_water,,,,never,piped_tap,,
POINT (36.852201000616539 -1.315555160483157),3885763808,drinking_water,,Mokua,,always,piped_tap,,
POINT (36.852097963853446 -1.315494809607231),3885770232,drinking_water,,moses,,often,piped_tap,,
POINT (36.85225184526162 -1.315458437426837),3885770231,drinking_water,,mkisii,,often,piped_tap,,
POINT (36.851612154947802 -1.315208951197398),3885770226,drinking_water,,peninah,,often,piped_tap,,
POINT (36.851679618425635 -1.315255022630408),3885770227,drinking_water,,baba dady,,often,piped_tap,,
POINT (36.851188150133694 -1.314806791556886),3885770217,drinking_water,,jared,,often,piped_tap,,
POINT (36.851160212528356 -1.314760720115606),3885770215,drinking_water,,mkisi,,often,piped_tap,,
POINT (36.851232796403316 -1.314793589798946),3885770216,drinking_water,,Waria,,often,piped_tap,,
POINT (36.851096162648595 -1.314596281884496),3885770214,drinking_water,,karish,,often,piped_tap,,
POINT (36.851238276126544 -1.314855916465083),3885770220,drinking_water,,kwakina edu,,often,piped_tap,,
