WKT,osm_id,amenity,name,operator,operational_status,watsan:cost,watsan:location,watsan:type,opening_hours,operator:type
POINT (36.860224213745127 -1.26246981185175),1207163959,toilets,Bridge international,,operational,,school,pit_latrine,07:00-16:30,ngo_national
POINT (36.859945286849403 -1.2621870010208),1038202757,toilets,community,public toilets,operational,none,by_the_river,hanging_toilet,6:00-10:00,community
POINT (36.86053017993089 -1.263412634145611),1207074884,toilets,,,operational,3 Ksh,plot,asian_style,05:30-22:30,ngo_cbo
POINT (36.860173908089216 -1.261901316247357),1038202731,toilets,Success care center,,operational,3000 per month,by_the_river,hanging_toilet,6:30-6:30,private
POINT (36.860367225538354 -1.261942628728327),1207163975,toilets,,,operational,2/use,by_the_river,trench_toilet,05:00-23:00,private
POINT (36.860108061578892 -1.261449124157344),1207138004,toilets,Public Toilet,,operational,2ksh,public_community,trench_toilet,06:30-22:00,private
POINT (36.861452929390744 -1.261251901922278),1205552278,toilets,,,operational,,by_the_river,hanging_toilet,,private
POINT (36.862237607791421 -1.263072524828323),1205523399,toilets,Umande Trust,,operational,3 shillings,church,english_style,06:00-20:30,faith_based_organization
POINT (36.86229168637152 -1.263016034525471),1112885070,toilets,,Legio Maria Public toilet,operational,3 shillings,church,asian_style,06:00-20:00,faith_based_organization
POINT (36.861887264830614 -1.262560878908584),1205523397,toilets,Thayu Private Toilet,,operational,3 shillings,public_community,pit_latrine,06:30-19:00,private
POINT (36.861931911100235 -1.262406136757841),1205552300,toilets,Joseph Nguutu,,operational,yes,public_community,trench_toilet,05:30-22:00,private
POINT (36.862757373014816 -1.262232534554573),1235775792,toilets,,,operational,,plot,asian_style,24/7,
POINT (36.862664666877492 -1.261796957325128),1205552277,toilets,,,operational,,plot,pit_latrine,06:00-22:00,private
POINT (36.862649844675303 -1.261614912964525),1205552275,toilets,,,non_operationa,,public_community,,,LATIF
POINT (36.862383045035919 -1.260718791106414),1205552280,toilets,,,operational,2ksh,public_community,trench_toilet,,private
POINT (36.859301554116804 -1.260509893543341),1207138001,toilets,public Toilet,,operational,200 per month,public_community,asian_style,06:00-22:30,private
POINT (36.859325179808778 -1.260502529140548),1205477308,toilets,High t,,operational,2 ksh,,,06:00-20:00,private
POINT (36.859637613864592 -1.260550128328928),1207138026,toilets,Public Toilet,,operational,free,public_community,asian_style,06:00-21:00,private
POINT (36.859727804719114 -1.260484926421615),1205477309,toilets,I-area,,operational,membership fee 550 ksh,public_community,asian_style,6:00-8:00,private
POINT (36.859859318076715 -1.260330992435581),1038202743,toilets,I-area,Public toilets,operational,400 per month,public_community,asian_style,5:00-10:00,other
POINT (36.85992866801665 -1.260101348776741),1207138033,toilets,public Toilet,,operational,300/month,,,06:30-22:00,private
POINT (36.860270566813782 -1.259813508338853),1207138010,toilets,public Toilet,,operational,300/month,public_community,asian_style,06:00-21:00,private
POINT (36.8606718442512 -1.260321203167785),1207138050,toilets,public Toilet,,operational,300/month,plot,asian_style,07:00-22:00,private
POINT (36.86319476272665 -1.260520580908319),1103092238,toilets,Mburu,Public toilets,operational,3 ksh,public_community,english_style,06:30-22:00,private
POINT (36.862749288177255 -1.260134488594234),1205552269,toilets,,,operational,,public_community,pit_latrine,,private
POINT (36.863216861282638 -1.260013424977089),1205552279,toilets,,,operational,,public_community,pit_latrine,,private
POINT (36.862067826202725 -1.259844043675432),1207045070,toilets,Veronicahs Toilet,,operational,,by_the_river,pit_latrine,06:00-21:00,private
POINT (36.862848013026976 -1.259344790877553),1205552263,toilets,,,operational,3ksh,public_community,pit_latrine,,private
POINT (36.863833105567544 -1.260144726911734),1205552276,toilets,,,operational,,public_community,pit_latrine,24/7,private
POINT (36.862660714290243 -1.259122152299156),1205552252,toilets,,,operational,,plot,pit_latrine,,private
POINT (36.862865799669606 -1.25889897484266),1244295592,toilets,,,operational,no,by_the_river,hanging_toilet,06:00-21:00,private
POINT (36.863031089681883 -1.25879704066605),1207045046,toilets,Mabatini Toilet,,operational,3 ksh,by_the_river,pit_latrine,06:00-23:00,private
POINT (36.863559388900477 -1.258675797367082),1205552293,toilets,,,operational,,by_the_river,hanging_toilet,,private
POINT (36.866361413934698 -1.260678915562556),1205506593,toilets,Ngei PAG primary School and Secondary,,operational,,church,asian_style,08:00-17:00,faith_based_organization
POINT (36.866740413153067 -1.260561174932902),1205506589,toilets,Lions Clinic,,operational,,clinic,asian_style,08:00-17:00,other
POINT (36.868545398053456 -1.260428436062569),1205506595,toilets,Huruma community toilet,,operational,5 shillings,public_community,asian_style,06:00-20:00,ngo_cbo
POINT (36.868790009305322 -1.260113652719869),1205506587,toilets,Kibichoi Plot,,operational,,plot,asian_style,24/7,private
POINT (36.867858905513323 -1.258834311753116),1205506586,toilets,Eden Annex Primary School,,operational,,school,asian_style,08:00-18:00,
POINT (36.867915050218585 -1.258669241247785),1204150708,toilets,Joyrinah Educational Centre,,operational,,school,asian_style,Mo-Fr 08:30-20:00,private
POINT (36.868109804972185 -1.258689538274573),1204150718,toilets,Eart Busaa club,,operational,,plot,asian_style,24/7,private
POINT (36.867869864959786 -1.258601524617432),1204150715,toilets,Sakati,,operational,,plot,asian_style,24/7,private
POINT (36.868526982590126 -1.257943936770851),1204150710,toilets,Ushindi Educational Center,,operational,,school,asian_style,Mo-Fr 08:30-20:00,private
POINT (36.86427822079083 -1.256788891669504),1204089842,toilets,,,operational,5 ksh,public_community,asian_style,24/7,cdf
