WKT,osm_id,amenity,area,barrier,leisure,name,operator:type
POINT (36.871835118455429 -1.258325898155618),1123201101,school,,,,M.F.H.C Huruma Centre,
POINT (36.872902945833658 -1.259505909707822),6445081213,school,,gate,playground,Huruma Mixed Secondary,government
POINT (36.873933942285241 -1.258597123934509),6445081215,school,,,,Huruma Primary School,
POINT (36.875597981517544 -1.258625952898095),6445111405,school,,gate,,Angels Of Mercy,private
POINT (36.875701018280637 -1.26118687965207),6445132389,school,,gate,playground,Ndururuno Secondary School,government
POINT (36.876672007271239 -1.260938914874651),6445132390,school,,gate,playground,Ndururuno Primary School,government
POINT (36.876026028750431 -1.260327938902509),6445081220,school,,gate,playground,Affuluent Secondary School,
POINT (36.877702554565175 -1.260532705229888),1761920283,kindergarten,,,,,
POINT (36.876516598727086 -1.258071376985158),6445111406,school,,gate,playground,Edden Anex Preparatory School,private
POINT (36.871351016348818 -1.25789292475945),6445081214,school,,,,Glory Spring Community Centre,community
POINT (36.87137095894812 -1.25786194035061),6445081223,school,,,,Aeisha Collier Primary School,
POINT (36.871363952088899 -1.257814700352676),1123201162,kindergarten,,,,Aeisha Collier Day Care nursery And Pri. School,
POINT (36.872135245591842 -1.256677527368676),1101737159,kindergarten,,,,Kenatco Kindergarten,
POINT (36.872649800586593 -1.256867295726843),1123201151,school,,,,Josam Academy,
POINT (36.872071016049034 -1.256502936874577),6445132392,school,,gate,,Ngei Faith Academy,religious
POINT (36.872226963582357 -1.256347206454887),1101737230,school,,,,Faith Academy,
POINT (36.872280952330939 -1.256357893836926),6445081217,school,,,,Patsue Care Center,community
POINT (36.871516126698033 -1.255734612828054),6445081221,school,,gate,,Mary Rosana Academy,youth group
POINT (36.872530953474509 -1.255620913423353),6445081222,school,,gate,,Golden Light Academy,religious
POINT (36.873724365329458 -1.257308262374301),1101737253,school,,,,Hope Missionary School,
POINT (36.873548924354466 -1.257225278025164),1123201081,school,,,,REMNANT JUNIOR ACADEMY,
POINT (36.874380225318397 -1.257227523272731),1038172444,school,,,,Heritage academy,
POINT (36.875515695837521 -1.256898908816882),1111566336,school,,,,Liance Driving School,
